Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
356,Konstantinos Mavropanos,gr GRE,DF,West Ham,25,1997,16.7,1,12,2,16.7,0.72,0.12,0.08,0.5,9.3,0,0,0,1.2,1.2,0.1,-0.2,-0.2,Matches
357,James Mcatee,eng ENG,MF,Manchester City,20,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
358,James McConnell,eng ENG,MF,Liverpool,18,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
359,John McGinn,sct SCO,"MF,FW",Aston Villa,28,1994,33.3,6,40,14,35,1.2,0.42,0.15,0.43,19.5,3,0,0,5,5,0.12,+1.0,+1.0,Matches
360,Scott McKenna,sct SCO,DF,Nott'ham Forest,26,1996,4.6,0,2,0,0,0.43,0,0,,10.8,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
361,Dwight McNeil,eng ENG,"MF,FW",Everton,23,1999,32.1,3,57,14,24.6,1.77,0.44,0.05,0.21,21,0,0,0,3.4,3.4,0.06,-0.4,-0.4,Matches
362,Scott McTominay,sct SCO,"MF,FW",Manchester Utd,26,1996,21.1,7,44,19,43.2,2.08,0.9,0.16,0.37,14.6,0,0,0,5.7,5.7,0.14,+1.3,+1.3,Matches
363,Ben Mee,eng ENG,DF,Brentford,33,1989,14.1,2,10,2,20,0.71,0.14,0.2,1,12.7,0,0,0,1.5,1.5,0.15,+0.5,+0.5,Matches
364,Hannibal Mejbri,tn TUN,"MF,FW",Manchester Utd,20,2003,1.5,1,1,1,100,0.68,0.68,1,1,28.7,0,0,0,0,0,0.03,+1.0,+1.0,Matches
365,Teden Mengi,eng ENG,DF,Luton Town,21,2002,27.4,1,11,4,36.4,0.4,0.15,0.09,0.25,17.6,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
366,Chris Mepham,wls WAL,DF,Bournemouth,25,1997,6.9,0,1,1,100,0.15,0.15,0,0,8.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
367,Lewis Miley,eng ENG,MF,Newcastle Utd,17,2006,13.4,1,13,3,23.1,0.97,0.22,0.08,0.33,15.4,0,0,0,1.2,1.2,0.1,-0.2,-0.2,Matches
368,James Milner,eng ENG,"DF,MF",Brighton,37,1986,8.6,0,5,1,20,0.58,0.12,0,0,17.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
369,Tyrone Mings,eng ENG,DF,Aston Villa,30,1993,0.3,0,1,0,0,3,0,0,,18.4,0,0,0,0,0,0.01,0,0,Matches
