Livramento	(D)	NEW	£4.1	20 (13)	878	2	1	2	1	0.21	1	2%	2%	0.6	1	6	1	0.43	0	59.91	182	4	37
Murillo	(D)	NFO	£4.5	21 (0)	1819	9	3	8	1	1.13	0	6%	4%	1.7	1	6	2	0.54	1	59.69	321	1	42
Cairney	(M)	FUL	£4.9	25 (12)	1209	12	5	6	1	0.74	1	9%	15%	3.0	6	18	5	2.23	5	59.67	296	2	59
Vini Souza	(M)	SHU	£5	26 (1)	2127	10	4	4	0	0.44	1	4%	9%	0.8	2	4	1	0.41	1	59.67	295	4	59
Doughty	(D)	LUT	£4.7	25 (3)	1914	20	3	15	1	1	1	14%	25%	4.8	9	53	7	3.81	8	59.58	396	11	79
Romero	(D)	TOT	£4.9	21 (0)	1712	13	6	11	3	1.47	4	6%	9%	2.4	4	5	0	0.89	0	59.54	395	13	78
Archer	(F)	SHU	£4.3	22 (6)	1454	29	9	20	6	3.72	4	18%	25%	4.5	6	18	5	0.77	2	59.43	206	9	66
Wood	(F)	NFO	£4.8	20 (11)	865	22	12	20	8	5.44	8	23%	36%	5.7	9	16	2	0.3	1	59.35	293	12	75
Collins	(D)	BRE	£4.5	22 (3)	1750	8	1	8	3	1.16	1	5%	6%	1.9	2	7	4	0.69	1	59.25	325	5	53
Konaté	(D)	LIV	£4.9	19 (5)	1328	8	2	8	0	0.45	0	2%	0%	0.9	0	8	1	0.41	0	59.04	281	2	51
N.Semedo	(D)	WOL	£4.5	26 (0)	2263	12	3	8	1	0.51	0	4%	3%	1.5	1	16	1	1.03	1	58.97	364	0	55
Onana	(M)	EVE	£4.7	21 (4)	1573	22	5	12	3	1.92	2	10%	9%	3.1	2	15	4	1.14	0	58.94	240	5	53
Kluivert	(M)	BOU	£4.6	21 (5)	1175	28	9	20	6	2.74	4	12%	14%	3.9	4	17	1	1.11	0	58.81	142	2	58
Billing	(M)	BOU	£5.1	21 (9)	1219	23	5	13	2	2.08	2	14%	17%	3.8	5	18	3	1.76	3	58.6	190	3	50
Schlupp	(M)	CRY	£4.8	20 (3)	1235	17	9	9	2	1.58	1	12%	8%	2.8	2	15	1	1.22	1	58.55	140	1	47
Toti	(D)	WOL	£4.4	24 (3)	1831	7	2	7	2	0.95	0	4%	5%	1.2	2	3	1	0.26	2	58.49	322	3	58
Emerson	(D)	WHU	£4.4	26 (1)	2273	15	3	9	1	1.14	1	8%	9%	3.0	4	20	2	1.82	3	58.1	424	8	73
Williams	(D)	NFO	£4.3	18 (8)	972	6	1	2	1	0.3	0	6%	4%	1.5	1	8	1	1.24	1	57.91	143	2	29
Gusto	(D)	CHE	£4.2	19 (5)	1281	8	1	2	1	0.48	0	7%	15%	2.7	5	20	8	2.2	5	57.77	294	7	52
Vitinho	(D)	BUR	£4.4	21 (4)	1516	13	1	9	1	0.99	0	8%	0%	1.6	0	6	0	0.6	0	57.19	161	0	34
Elliott	(M)	LIV	£4.8	23 (18)	734	28	9	6	0	1.25	2	8%	12%	3.9	6	20	3	2.6	4	57.16	231	6	57
Yates	(M)	NFO	£4.8	24 (12)	1251	17	4	11	2	1.84	0	7%	0%	2.3	0	3	1	0.45	0	56.94	119	1	34
Nketiah	(F)	ARS	£5.1	24 (14)	1045	36	11	33	7	4.52	5	10%	16%	5.0	9	9	2	0.52	4	56.87	205	5	68
Sanchez	(G)	CHE	£4.5	16 (0)	1434	0	0	0	0	0	0	0%	0%	0.0	0	0	0	0	0	56.4	317	7	59
João Gomes	(M)	WOL	£4.9	23 (2)	1731	18	5	7	1	1.13	2	6%	11%	2.1	4	12	2	1	2	56.25	261	3	59
Pope	(G)	NEW	£5.3	14 (0)	1256	1	0	1	0	0.02	0	0%	0%	0.0	0	0	0	0	0	55.94	268	1	56
Raúl	(F)	FUL	£5	19 (2)	1251	36	15	30	6	4.64	5	22%	20%	5.3	5	9	3	0.7	0	55.71	176	10	55
Mudryk	(M)	CHE	£6.3	20 (11)	889	16	4	10	5	2.35	3	11%	21%	4.1	7	15	2	1.73	4	55.53	168	4	60
Ajer	(D)	BRE	£4.4	19 (7)	1116	6	1	6	0	0.74	0	8%	3%	2.7	1	9	4	1.97	1	55.34	171	1	29
Ward	(D)	CRY	£4.5	19 (0)	1606	9	0	4	1	0.7	0	4%	5%	0.9	1	3	0	0.23	1	54.82	242	0	45
Davies	(D)	TOT	£4.3	16 (5)	998	12	2	10	4	2.34	1	10%	6%	2.9	2	4	0	0.55	1	54.71	201	0	31
