Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
523,Andriy Yarmolenko,ua UKR,FWMF,West Ham,30,1989,4.2,3,0,0,8,6,5,16,1,4,0,0,0,27,4,2,66.7,Matches,849c826a
524,DeAndre Yedlin,us USA,DF,Newcastle Utd,27,1993,4.8,0,0,0,4,4,1,13,7,4,0,0,0,16,4,1,80.0,Matches,ae0a7ddf
525,Okay Yokuşlu,tr TUR,MF,West Brom,26,1994,14.6,4,0,0,25,28,1,2,35,25,0,2,0,124,41,27,60.3,Matches,e49ce451
526,Wilfried Zaha,ci CIV,FW,Crystal Palace,27,1992,29.0,6,0,0,32,88,22,41,9,18,1,0,0,102,9,26,25.7,Matches,b2bc3b1f
527,Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,24,1995,28.7,6,0,0,44,27,0,13,56,37,0,0,0,220,63,39,61.8,Matches,6bb2c084
528,Andi Zeqiri,ch SUI,FWDF,Brighton,21,1999,1.9,0,0,0,2,2,0,6,0,2,0,0,0,7,2,4,33.3,Matches,d01231f0
529,Oleksandr Zinchenko,ua UKR,DF,Manchester City,23,1996,16.4,0,0,0,9,4,1,39,23,15,0,0,0,96,29,15,65.9,Matches,51cf8561
530,Hakim Ziyech,ma MAR,MFFW,Chelsea,27,1993,13.0,3,0,0,19,15,4,64,10,10,0,0,0,68,5,18,21.7,Matches,6622454d
531,Kurt Zouma,fr FRA,DF,Chelsea,25,1994,22.5,3,0,0,17,6,0,0,28,10,0,0,0,97,84,38,68.9,Matches,ce4246f5
532,Martin Ødegaard,no NOR,MF,Arsenal,21,1998,9.6,0,0,0,1,9,1,36,2,3,0,0,0,40,2,13,13.3,Matches,79300479
