Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Mis,Dis,Rec,Prog,Matches
397,Cole Palmer,eng ENG,"MF,FW",Manchester City,20,2002,4.1,248,6,22,85,143,32,248,25,14,56,13,8,202,40,Matches
398,Emerson Palmieri,it ITA,DF,West Ham,27,1994,14.7,894,60,241,386,273,25,894,29,6,20.7,10,11,532,57,Matches
399,Lucas Paquetá,br BRA,MF,West Ham,24,1997,23.9,1475,46,239,839,419,49,1474,63,33,52.4,48,44,964,63,Matches
400,Thomas Partey,gh GHA,MF,Arsenal,29,1993,27.6,2267,78,418,1406,466,29,2267,45,35,77.8,33,19,1654,35,Matches
401,Nathan Patterson,sct SCO,"DF,MF",Everton,20,2001,14.2,836,71,310,295,238,19,836,24,11,45.8,22,9,431,51,Matches
402,Ben Pearson,eng ENG,MF,Bournemouth,27,1995,3.2,162,8,56,90,17,0,162,1,0,0,6,0,100,4,Matches
403,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,20,2001,0.7,24,0,9,7,8,1,24,3,2,66.7,2,1,14,2,Matches
404,Andreas Pereira,br BRA,MF,Fulham,26,1996,29.9,1312,14,106,608,613,66,1311,49,17,34.7,52,51,853,133,Matches
405,Ricardo Pereira,pt POR,"DF,MF",Leicester City,28,1993,5,383,23,116,183,90,4,383,7,5,71.4,7,3,217,14,Matches
406,Ayoze Pérez,es ESP,"MF,FW",Leicester City,29,1993,4.2,244,3,38,104,108,17,244,21,6,28.6,12,11,155,43,Matches
407,Ivan Perišić,hr CRO,"DF,MF",Tottenham,33,1989,23.4,1370,73,357,443,583,94,1370,40,18,45,33,14,733,181,Matches
408,Romain Perraud,fr FRA,DF,Southampton,24,1997,20.4,1153,54,360,406,395,39,1153,38,10,26.3,27,14,626,122,Matches
409,Máximo Perrone,ar ARG,MF,Manchester City,19,2003,0.2,22,0,4,12,6,2,22,0,0,,0,0,19,1,Matches
410,Cameron Peupion,au AUS,MF,Brighton,19,2002,0.1,6,0,0,3,3,1,6,0,0,,1,0,5,2,Matches
411,Kalvin Phillips,eng ENG,MF,Manchester City,26,1995,3.3,354,16,64,243,49,6,354,2,1,50,2,1,284,2,Matches
412,Nathaniel Phillips,eng ENG,DF,Liverpool,25,1997,0.7,89,3,26,63,2,1,89,0,0,,2,0,60,0,Matches
413,Jordan Pickford,eng ENG,GK,Everton,28,1994,37,1413,1030,1359,57,0,0,1413,0,0,,1,1,548,0,Matches
414,Ethan Pinnock,jm JAM,DF,Brentford,29,1993,30,1554,327,927,497,134,55,1554,6,2,33.3,6,7,745,16,Matches
415,Daniel Podence,pt POR,"FW,MF",Wolves,26,1995,19.7,889,11,120,328,456,70,889,61,24,39.3,49,30,622,148,Matches
416,Nick Pope,eng ENG,GK,Newcastle Utd,30,1992,36.2,974,821,967,7,0,0,974,0,0,,2,0,344,0,Matches
417,Pedro Porro,es ESP,"DF,MF",Tottenham,22,1999,12.6,817,45,246,293,285,25,817,41,14,34.1,15,7,480,95,Matches
418,Dennis Praet,be BEL,"MF,FW",Leicester City,28,1994,7.2,342,11,67,163,118,14,342,14,6,42.9,11,10,217,42,Matches
419,Isaac Price,nir NIR,MF,Everton,18,2003,0.4,17,1,5,10,2,0,17,1,1,100,1,0,13,0,Matches
420,Christian Pulisic,us USA,"FW,DF",Chelsea,23,1998,9.1,429,4,53,168,216,43,429,44,13,29.5,26,13,328,76,Matches
421,Aaron Ramsdale,eng ENG,GK,Arsenal,24,1998,38,1196,872,1170,28,0,0,1196,1,1,100,0,0,629,0,Matches
422,Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,21,2001,29.3,1245,57,238,609,422,85,1245,77,31,40.3,62,37,819,119,Matches
423,Marcus Rashford,eng ENG,FW,Manchester Utd,24,1997,32,1212,22,102,429,704,183,1212,138,54,39.1,80,44,928,245,Matches
424,David Raya,es ESP,GK,Brentford,26,1995,38,1722,1257,1616,108,1,1,1722,1,1,100,0,0,808,0,Matches
425,Tim Ream,us USA,DF,Fulham,34,1987,32.2,2193,312,1124,1020,61,14,2193,15,10,66.7,15,5,1450,2,Matches
426,Nathan Redmond,eng ENG,DF,Southampton,28,1994,0,1,0,0,0,1,0,1,0,0,,0,0,1,1,Matches
427,Harrison Reed,eng ENG,MF,Fulham,27,1995,31.8,1585,57,292,842,463,50,1585,28,10,35.7,44,25,972,107,Matches
428,Bobby Reid,jm JAM,"FW,DF",Fulham,29,1993,27.5,1191,55,228,488,490,77,1191,53,18,34,53,32,759,186,Matches
429,Declan Rice,eng ENG,MF,West Ham,23,1999,36.4,2475,123,670,1419,433,24,2474,63,35,55.6,28,26,1642,37,Matches
430,Chris Richards,us USA,DF,Crystal Palace,22,2000,5,274,47,131,119,24,7,274,0,0,,3,2,149,3,Matches
431,Richarlison,br BRA,"MF,FW",Tottenham,25,1997,11.2,441,11,78,172,200,62,441,34,12,35.3,40,18,306,75,Matches
432,Jaïro Riedewald,nl NED,"DF,MF",Crystal Palace,25,1996,0.7,54,6,19,23,14,1,54,0,0,,0,0,28,1,Matches
433,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,32,1989,0.4,35,1,8,12,16,1,35,1,1,100,1,0,27,9,Matches
434,Andrew Robertson,sct SCO,DF,Liverpool,28,1994,28.7,2483,79,691,1084,727,59,2483,42,17,40.5,31,7,1637,194,Matches
435,Antonee Robinson,us USA,DF,Fulham,24,1997,34.3,2260,125,778,937,580,29,2260,74,39,52.7,40,20,1263,153,Matches
436,Joel Robles,es ESP,GK,Leeds United,32,1990,4,136,101,129,8,0,0,136,0,0,,0,0,44,0,Matches
437,Marc Roca,es ESP,MF,Leeds United,25,1996,25.7,1571,47,333,914,333,26,1571,30,17,56.7,26,26,948,28,Matches
438,Marek Rodák,sk SVK,GK,Fulham,25,1996,2,65,58,65,0,0,0,65,0,0,,1,0,21,0,Matches
