Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
93,Calum Chambers,eng ENG,"DF,MF",Aston Villa,27,1995,3.9,6,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
94,Shea Charles,nir NIR,DF,Manchester City,18,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
95,Ben Chilwell,eng ENG,"DF,MF",Chelsea,25,1996,15.6,39,2,19,17,0,1,2,0,4,0.26,2,1,0,0,1,0,Matches
96,Ryan Christie,sct SCO,"MF,FW",Bournemouth,27,1995,20.4,66,3,48,5,5,5,3,0,4,0.2,3,0,0,1,0,0,Matches
97,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,18,2003,3.9,16,4.07,13,0,0,1,0,2,0,0,0,0,0,0,0,0,Matches
98,Bobby Clark,eng ENG,MF,Liverpool,17,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,1991,18.2,18,1,16,1,0,0,1,0,0,0,0,0,0,0,0,0,Matches
100,Conor Coady,eng ENG,DF,Everton,29,1993,23.3,17,0.73,15,0,0,1,1,0,1,0.04,1,0,0,0,0,0,Matches
101,Jack Colback,eng ENG,MF,Nott'ham Forest,32,1989,5.5,3,0.54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Séamus Coleman,ie IRL,DF,Everton,33,1988,18.4,21,1.14,15,1,1,1,3,0,2,0.11,2,0,0,0,0,0,Matches
103,Nathan Collins,ie IRL,DF,Wolves,21,2001,20.2,11,1,8,0,1,0,2,0,0,0,0,0,0,0,0,0,Matches
104,Levi Colwill,eng ENG,DF,Brighton,19,2003,13.6,18,1,16,1,0,1,0,0,2,0.15,2,0,0,0,0,0,Matches
105,Lewis Cook,eng ENG,MF,Bournemouth,25,1997,19.1,39,2.04,27,8,0,0,1,3,4,0.21,2,1,0,0,0,1,Matches
106,Steve Cook,eng ENG,DF,Nott'ham Forest,31,1991,10.6,6,0.56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
107,Liam Cooper,sct SCO,DF,Leeds United,30,1991,15.8,16,1.01,13,1,0,2,0,0,3,0.19,3,0,0,0,0,0,Matches
108,Maxwel Cornet,ci CIV,FW,West Ham,25,1996,2.7,6,2.23,4,0,1,0,0,1,0,0,0,0,0,0,0,0,Matches
109,Diego Costa,es ESP,FW,Wolves,33,1988,13.8,23,1.67,15,0,3,3,2,0,1,0.07,1,0,0,0,0,0,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,29,1992,23.7,52,2,36,13,0,1,2,0,3,0.13,2,1,0,0,0,0,Matches
111,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,30,1992,8.8,24,3,19,1,3,1,0,0,0,0,0,0,0,0,0,0,Matches
112,Conor Coventry,ie IRL,"MF,FW",West Ham,22,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Matthew Craig,sct SCO,MF,Tottenham,19,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Aaron Cresswell,eng ENG,DF,West Ham,32,1989,24.8,73,3,43,27,0,2,1,0,1,0.04,0,1,0,0,0,0,Matches
115,Marc Cucurella,es ESP,DF,Chelsea,24,1998,18.6,27,1,21,6,0,0,0,0,3,0.16,2,1,0,0,0,0,Matches
116,Matheus Cunha,br BRA,FW,Wolves,23,1999,10.7,21,1.96,16,1,1,1,2,0,0,0,0,0,0,0,0,0,Matches
117,Patson Daka,zm ZAM,FW,Leicester City,23,1998,13.2,28,2.12,19,1,1,5,2,0,7,0.53,4,0,1,2,0,0,Matches
118,Diogo Dalot,pt POR,DF,Manchester Utd,23,1999,23.9,52,2,48,0,1,2,0,1,2,0.08,2,0,0,0,0,0,Matches
119,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,22,2000,11,25,2,20,3,0,1,1,0,2,0.18,2,0,0,0,0,0,Matches
120,Danilo,br BRA,MF,Nott'ham Forest,21,2001,10.8,23,2,17,1,3,1,1,0,6,0.55,5,0,1,0,0,0,Matches
121,Arnaut Danjuma,nl NED,"FW,MF",Tottenham,25,1997,1.9,4,2.13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Josh Dasilva,eng ENG,MF,Brentford,23,1998,15.4,42,2.72,36,1,3,1,1,0,7,0.45,5,0,1,0,1,0,Matches
123,David Datro Fofana,ci CIV,FW,Chelsea,19,2002,0.8,6,7.71,2,0,4,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Ben Davies,wls WAL,DF,Tottenham,29,1993,25.4,37,1.46,33,1,0,3,0,0,7,0.28,5,0,0,2,0,0,Matches
125,Tom Davies,eng ENG,MF,Everton,24,1998,6,6,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
126,Craig Dawson,eng ENG,DF,West Ham,32,1990,8,12,1.5,10,0,0,1,1,0,1,0.12,0,0,0,0,1,0,Matches
127,Craig Dawson,eng ENG,DF,Wolves,32,1990,15.7,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Kevin De Bruyne,be BEL,MF,Manchester City,31,1991,26.9,176,7,120,33,8,7,5,3,31,1.15,24,3,1,1,2,0,Matches
129,Siriki Dembélé,ci CIV,"FW,MF",Bournemouth,25,1996,1.2,5,4.09,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Leander Dendoncker,be BEL,MF,Aston Villa,27,1995,7.7,8,1.03,6,0,0,1,0,1,0,0,0,0,0,0,0,0,Matches
131,Leander Dendoncker,be BEL,MF,Wolves,27,1995,2.4,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
132,Emmanuel Dennis,ng NGA,"FW,MF",Nott'ham Forest,24,1997,8,25,3.12,14,1,2,2,6,0,3,0.37,2,0,0,0,1,0,Matches
133,Halil Dervişoğlu,tr TUR,MF,Brentford,22,1999,0.1,1,11,0,0,0,1,0,0,1,11.25,0,0,0,1,0,0,Matches
