Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
332,Mason Mount,eng ENG,MF,Chelsea,21,1999,32.1,2265,21,233,1015,1040,124,2264,43,81,53.1,56,41,1624,175,Matches,9674002f
333,Lucas Moura,br BRA,FWMF,Tottenham,27,1992,15.7,824,16,101,434,314,37,824,33,70,47.1,48,37,579,56,Matches,2b622f01
334,Lys Mousset,fr FRA,FWMF,Sheffield Utd,24,1996,3.3,85,0,3,39,43,10,85,4,13,30.8,12,9,62,16,Matches,d9cfca3d
335,João Moutinho,pt POR,MF,Wolves,33,1986,28.1,2056,48,394,1175,502,8,2056,13,18,72.2,15,11,1353,33,Matches,f5a00fa4
336,Joel Mumbongo,se SWE,FW,Burnley,21,1999,0.4,10,0,0,5,5,0,10,0,1,0.0,1,1,9,2,Matches,f8e588df
337,Jacob Murphy,eng ENG,DFMF,Newcastle Utd,25,1995,18.1,837,46,273,336,253,24,837,39,63,61.9,33,25,453,28,Matches,de112b84
338,Shkodran Mustafi,de GER,DF,Arsenal,28,1992,0.5,55,5,16,39,1,0,55,0,0,,0,0,42,0,Matches,3f2d59fe
339,Marvelous Nakamba,zw ZIM,MF,Aston Villa,26,1994,8.3,371,25,139,203,31,1,371,4,4,100.0,8,2,209,1,Matches,de5b5570
340,Iliman Ndiaye,sn SEN,MF,Sheffield Utd,20,2000,0.1,7,0,0,4,3,0,7,0,0,,1,0,3,0,Matches,5ed97752
341,Wilfred Ndidi,ng NGA,MFDF,Leicester City,23,1996,24.2,1755,111,598,1010,166,14,1755,16,30,53.3,25,14,1078,16,Matches,6b47c5db
342,Tanguy Ndombele,fr FRA,MF,Tottenham,23,1996,23.2,1437,26,239,893,333,39,1437,74,99,74.7,57,33,1079,52,Matches,5cdddffa
343,Reiss Nelson,eng ENG,FWMF,Arsenal,20,1999,0.8,38,1,7,9,23,4,38,1,4,25.0,0,2,23,3,Matches,c5bdb6e3
344,Pedro Neto,pt POR,FWMF,Wolves,20,2000,28.3,1544,17,141,652,778,100,1544,64,129,49.6,77,41,1137,151,Matches,7ba2eaa9
345,Rúben Neves,pt POR,MF,Wolves,23,1997,29.7,2374,85,523,1532,337,23,2371,10,15,66.7,26,16,1630,27,Matches,44bfb6c5
346,Eddie Nketiah,eng ENG,FW,Arsenal,21,1999,4.7,152,5,16,64,73,28,152,7,12,58.3,13,5,114,28,Matches,a53649b7
347,Niels Nkounkou,fr FRA,DFFW,Everton,19,2000,0.9,59,3,9,32,18,0,59,2,4,50.0,3,1,33,3,Matches,f5b281e7
348,Dan Nlundulu,eng ENG,FWMF,Southampton,21,1999,1.2,49,1,4,26,19,6,49,2,2,100.0,6,2,34,11,Matches,30040f5d
349,Mark Noble,eng ENG,MF,West Ham,33,1987,7.9,487,8,88,337,66,3,487,2,2,100.0,5,6,339,10,Matches,ff527768
350,Will Norris,eng ENG,GK,Burnley,26,1993,2.0,57,46,52,5,0,0,57,0,0,,0,0,22,0,Matches,c73ada83
351,Oliver Norwood,nir NIR,MF,Sheffield Utd,29,1991,24.7,1736,89,436,988,320,5,1736,2,4,50.0,15,7,1108,17,Matches,43439614
352,Jack O'Connell,eng ENG,DF,Sheffield Utd,26,1994,2.0,100,11,40,45,15,0,100,0,1,0.0,2,0,56,2,Matches,312626c1
353,Dara O'Shea,ie IRL,DF,West Brom,21,1999,23.4,1171,142,570,502,103,12,1171,5,9,55.6,10,4,538,4,Matches,1d042188
354,Michael Obafemi,ie IRL,FW,Southampton,20,2000,0.7,19,1,2,13,5,2,19,0,1,0.0,1,2,12,4,Matches,caa1a7f0
355,Denis Odoi,gh GHA,DF,Fulham,32,1988,3.0,212,11,96,85,32,0,212,1,1,100.0,1,2,133,4,Matches,f7750aa0
356,Angelo Ogbonna,it ITA,DF,West Ham,32,1988,27.7,1269,182,672,552,52,32,1269,3,4,75.0,4,5,723,2,Matches,74b2cd7e
357,Robin Olsen,se SWE,GK,Everton,30,1990,7.0,220,192,219,1,0,0,220,0,0,,0,0,92,0,Matches,e7ee38c3
358,Josh Onomah,eng ENG,MF,Fulham,23,1997,4.2,215,5,28,125,64,5,215,2,2,100.0,9,9,153,12,Matches,6612cd8c
359,Divock Origi,be BEL,FW,Liverpool,25,1995,2.1,88,3,9,29,52,13,88,0,4,0.0,4,5,67,17,Matches,43a166b4
360,Ben Osborn,eng ENG,MFDF,Sheffield Utd,25,1994,17.8,1019,31,198,424,412,28,1019,19,26,73.1,42,25,699,65,Matches,79bc4c45
361,Owen Otasowie,us USA,MFFW,Wolves,19,2001,2.1,97,5,20,53,25,6,97,3,7,42.9,7,3,59,6,Matches,6956ff08
362,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,26,1993,2.8,176,2,13,90,74,6,176,1,7,14.3,7,5,129,19,Matches,38c7feef
363,Emerson Palmieri,it ITA,DF,Chelsea,25,1994,1.0,80,6,27,32,21,1,80,0,2,0.0,2,0,42,0,Matches,e0bc6fdc
364,Thomas Partey,gh GHA,MF,Arsenal,27,1993,17.0,1328,42,290,849,202,10,1328,28,35,80.0,21,10,948,16,Matches,529f49ab
365,Rui Patrício,pt POR,GK,Wolves,32,1988,37.0,880,817,880,0,0,0,880,0,0,,1,0,211,0,Matches,79b0d6a0
366,Bailey Peacock-Farrell,nir NIR,GK,Burnley,23,1996,4.0,123,87,120,3,0,0,123,0,0,,0,0,38,0,Matches,4879f8cb
367,Lee Peltier,eng ENG,DF,West Brom,33,1986,2.5,103,16,45,49,13,0,103,1,1,100.0,3,0,45,0,Matches,af341b88
368,Nicolas Pépé,ci CIV,FW,Arsenal,25,1995,18.0,930,19,122,319,505,112,929,27,66,40.9,56,23,696,125,Matches,57e3f0c7
369,Matheus Pereira,pt POR,MFFW,West Brom,24,1996,28.6,1404,27,176,587,655,71,1399,40,74,54.1,74,45,870,110,Matches,b04ee927
370,Ricardo Pereira,pt POR,DFFW,Leicester City,26,1993,10.7,696,24,185,277,237,27,696,14,30,46.7,21,16,427,25,Matches,75a72a99
371,Ayoze Pérez,es ESP,MFFW,Leicester City,27,1993,14.8,707,8,74,343,300,57,707,29,59,49.2,37,24,506,92,Matches,819aa8e7
372,Kalvin Phillips,eng ENG,MF,Leeds United,24,1995,27.0,1790,107,580,956,275,7,1790,20,32,62.5,41,16,1053,11,Matches,4f565d77
373,Matt Phillips,sct SCO,MF,West Brom,29,1991,20.3,802,46,177,288,349,43,802,24,56,42.9,52,25,470,62,Matches,7bb5f40e
374,Nathaniel Phillips,eng ENG,DF,Liverpool,23,1997,16.2,1313,130,551,712,54,24,1313,2,2,100.0,8,3,862,3,Matches,515ebe8d
375,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,18,2002,0.0,4,0,0,1,3,0,4,0,0,,0,0,3,0,Matches,19f4d211
376,Jordan Pickford,eng ENG,GK,Everton,26,1994,30.5,1242,1012,1222,22,0,0,1242,0,0,,0,0,618,0,Matches,4806ec67
377,Erik Pieters,nl NED,DFMF,Burnley,31,1988,14.1,742,62,236,371,141,8,742,6,10,60.0,12,10,354,7,Matches,1ef37668
378,Daniel Podence,pt POR,MFFW,Wolves,24,1995,18.5,795,11,91,366,352,57,795,38,64,59.4,35,24,613,72,Matches,7fcc71d8
379,Paul Pogba,fr FRA,MFFW,Manchester Utd,27,1993,21.1,1627,54,323,880,446,56,1627,44,65,67.7,54,50,1245,88,Matches,867239d3
380,Nick Pope,eng ENG,GK,Burnley,28,1992,32.0,1079,837,1052,29,1,1,1079,0,0,,2,0,293,0,Matches,4b40d9ca
381,Dennis Praet,be BEL,MF,Leicester City,26,1994,8.0,399,4,52,179,171,23,399,6,16,37.5,11,9,275,41,Matches,86695068
382,Davy Pröpper,nl NED,MF,Brighton,28,1991,2.4,116,2,14,76,28,3,116,2,3,66.7,2,5,88,8,Matches,fdd85f94
383,Christian Pulisic,us USA,FWMF,Chelsea,21,1998,19.3,982,10,98,394,510,108,982,49,108,45.4,67,29,760,117,Matches,1bf33a9a
384,Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22,1998,38.0,1272,1082,1260,12,2,2,1272,2,2,100.0,2,0,419,0,Matches,466fb2c5
385,Jacob Ramsey,eng ENG,MF,Aston Villa,19,2001,7.0,313,18,63,142,111,18,313,7,12,58.3,14,12,194,19,Matches,1544f145
386,Kayne Ramsey,eng ENG,DF,Southampton,19,2000,1.0,35,10,28,7,0,0,35,0,0,,0,0,14,0,Matches,dc31b84c
387,Darren Randolph,ie IRL,GK,West Ham,33,1987,3.0,70,62,69,1,0,0,70,0,0,,0,0,22,0,Matches,6385ebfb
388,Raphinha,br BRA,MFFW,Leeds United,23,1996,26.2,1416,39,195,600,642,123,1416,56,110,50.9,86,34,947,135,Matches,3423f250
389,Marcus Rashford,eng ENG,FW,Manchester Utd,22,1997,32.4,1597,18,106,544,972,166,1597,82,163,50.3,77,50,1326,225,Matches,a1d5bd30
390,Tim Ream,us USA,DF,Fulham,32,1987,7.0,524,75,294,227,6,1,524,1,2,50.0,2,1,383,0,Matches,28b40c9c
391,Nathan Redmond,eng ENG,MFFW,Southampton,26,1994,19.3,998,8,122,449,440,68,998,39,68,57.4,41,37,694,101,Matches,ab651565
392,Harrison Reed,eng ENG,MF,Fulham,25,1995,25.0,1751,67,474,983,309,9,1751,15,24,62.5,20,10,1059,14,Matches,803ae100
393,Sergio Reguilón,es ESP,DF,Tottenham,23,1996,24.9,1706,87,508,754,468,48,1706,22,49,44.9,34,15,1075,79,Matches,3353737a
